dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100000,500,50,100,0.25,0.5,0.000102877,0.00524638,9.42421e-05,0.000376968,0.0,0.0,0.000115146,0.0,0.0,0.005935613100000001,2.41345541482
100003,500,50,100,0.25,2.0,0.0,0.00368274,0.000102694,0.000189086,0.0,0.0,0.000109586,0.0,0.0,0.004084106,167.92795017
100004,500,50,100,0.25,2.5,0.000196646,0.00464178,0.000138812,9.43229e-05,0.0,0.0,0.000214116,0.0,0.0,0.0052856769,337.311119964
100006,500,50,100,0.25,3.5,0.000211545,0.00669157,0.000511053,0.000286452,0.0,0.0,9.2512e-05,0.0,0.0,0.007793132,956.420755076
100008,500,50,285,0.25,1.0,9.18075e-05,0.00817125,0.0005582,0.00138513,0.00022554,0.0,0.000268234,0.000117431,0.0,0.0108175925,0.250267884592
100009,500,50,285,0.25,1.5,0.000358399,0.0106957,0.000311998,0.00150422,9.16732e-05,0.000118316,0.0004007,0.0,0.0,0.013481006200000001,1.18662510826
100011,500,50,285,0.25,2.5,0.0,0.00789617,0.00022156,0.00162358,0.000586356,0.0,0.00053924,0.0,0.0,0.010866905999999999,12.5751437918
100012,500,50,285,0.25,3.0,0.000389731,0.00933497,0.0,0.0013243,0.000183456,0.0,0.000632363,0.0,9.70872e-05,0.011961907200000002,19.8914836311
100013,500,50,285,0.25,3.5,0.000192472,0.0104277,0.00030607,0.00108372,0.000513177,0.0,0.000329161,0.000103565,0.0,0.012955865,44.1564693248
100014,500,50,470,0.25,0.5,0.0,0.00963053,9.16396e-05,0.00276949,0.000613486,0.0,0.000354213,0.000276689,0.0,0.013736047599999999,0.00492965862742
100015,500,50,470,0.25,1.0,0.000213378,0.0110095,0.000706421,0.00308164,0.000900701,0.0,0.000196837,0.000276386,0.000194425,0.016579288,0.102357986203
100022,500,50,655,0.25,1.0,0.000218915,0.0131581,0.00138594,0.00229457,0.000867162,0.0,0.00051552,9.36642e-05,8.76999e-05,0.0186215711,0.0363641741361
100023,500,50,655,0.25,1.5,0.00014125,0.0127169,0.00119588,0.00338187,0.00102031,0.0,0.000299816,0.0,0.000182928,0.018938954,0.214321825436
100025,500,50,655,0.25,2.5,0.000671708,0.0127869,0.000641019,0.00352118,0.000952415,0.0,0.000435918,0.0,0.000434581,0.019443721,1.72765643956
100026,500,50,655,0.25,3.0,0.000208505,0.01288,0.000864816,0.00370892,0.00117352,0.0,0.00114141,0.000196669,0.000284945,0.020458785,4.19804445799
100032,500,50,840,0.25,2.5,0.000532425,0.0123315,0.00134432,0.00401777,0.00188638,0.0,0.000203576,0.0,0.000106138,0.020422108999999997,0.976857439782
100035,500,50,1025,0.25,0.5,0.000169297,0.0130117,0.00203354,0.00356859,0.00248784,0.0,0.000754875,0.000119795,0.000363669,0.022509306,0.000932377886919
100036,500,50,1025,0.25,1.0,8.49758e-05,0.0120894,0.00107589,0.00244398,0.00114111,0.0,0.000361128,0.000316428,0.000225754,0.0177386658,0.0090627785476
100040,500,50,1025,0.25,3.0,0.000243432,0.013949,0.00198243,0.00358688,0.00262988,0.0,0.000733291,0.000404089,0.000373135,0.023902137,1.31423962834
100043,500,50,1210,0.25,1.0,0.000353191,0.0136706,0.0014276,0.00436639,0.00316707,0.0,0.000444368,0.000301009,9.59145e-05,0.023826142499999998,0.00807469340087
100044,500,50,1210,0.25,1.5,0.0006679,0.0142065,0.0016114,0.0054848,0.00164406,0.0,0.000233633,0.000102469,0.000627747,0.024578509000000002,0.0351806653439
100045,500,50,1210,0.25,2.0,0.000119323,0.0152636,0.00134822,0.0034708,0.00209768,0.0,0.000881318,0.0,0.000319346,0.023500287,0.102521610245
100046,500,50,1210,0.25,2.5,8.42909e-05,0.0127811,0.00176578,0.00626677,0.00264441,0.0,0.000350365,9.74724e-05,0.000475587,0.024465775300000003,0.329568864297
100047,500,50,1210,0.25,3.0,0.00035247,0.0124456,0.0024991,0.00434722,0.00232927,0.0,0.00069098,0.0,9.6852e-05,0.022761491999999998,0.558144217909
100048,500,50,1210,0.25,3.5,0.000115706,0.0139423,0.00132912,0.00550199,0.00164165,0.0,0.000223259,0.000312664,0.000194963,0.023261651999999997,0.984092658744
100049,500,70,100,0.25,0.5,0.000557931,0.0126911,0.00118597,0.000609255,0.0,0.0,0.000116775,0.0,0.0,0.015161030999999998,3.9305221534
100052,500,70,100,0.25,2.0,0.000317086,0.0156023,0.00100592,0.00161446,0.0,0.0,0.0,0.000127855,0.0,0.018667621,680.369232206
100053,500,70,100,0.25,2.5,0.000225741,0.0152857,0.000688348,0.000695622,9.43052e-05,0.0,9.57582e-05,0.0,0.0,0.017085474399999998,860.191960614
100057,500,70,285,0.25,1.0,0.000383275,0.0322886,0.00341815,0.00512674,0.00121045,0.0,0.000340425,0.000310531,0.00038586,0.04346403100000001,0.733911116431
